NumeroRegistro;Sección;Denominación;Domicilio social;Código;Fecha;
1;PRIMERA;CENTRO DE INICIATIVAS Y TURISMO DE COMILLAS;LOPE DE VEGA Nº 14, CP: 39003, SANTANDER, CANTABRIA;;18/11/1985;
3;PRIMERA;ORFEON CANTABRO;C/ALTA Nº 1 - 2º IZQUIERDA, CP: 39008, SANTANDER, CANTABRIA;;06/09/1965;
5;PRIMERA;CANTABRA EN  FAVOR DE LAS PERSONAS CON DISCAPACIDAD INTELECTUAL (AMPROS);C/ NICOLAS SALMERON, Nº 1, CP: 39009, SANTANDER, CANTABRIA;;11/11/1965;
6;PRIMERA;CIRCULO CATOLICO DE MAYORES Y OBREROS SAN JOSE;C/ RUBIO Nº 4, PPAL., CP: 39007, SANTANDER, CANTABRIA;;22/10/2004;
8;PRIMERA;PEÑA TAURINA FELIX RODRIGUEZ;C/ BURGOS, Nº  9 - INTERIOR, CP: 39008, SANTANDER, CANTABRIA;;07/02/1957;
11;PRIMERA;DE COMERCIANTES Y EMPRESARIOS DE SELAYA;C/ TRES DE NOVIEMBRE Nº 32, CP: 39010, SANTANDER, CANTABRIA;;22/03/1988;
12;PRIMERA;SOCIEDAD CORAL DE TORRELAVEGA;C/ MARTIRES Nº 11, PRINCIPAL IZQ., CP: 39300, TORRELAVEGA, CANTABRIA;;10/12/1966;
13;PRIMERA;PEÑA PRADO DE SAN ROQUE;C/ GENERAL DAVILA Nº 108-B, CP: 39006, SANTANDER, CANTABRIA;;14/12/1966;
14;PRIMERA;AGORA FILOSOFICA;C/ ALTA Nº 82 (CENTRO ASOCIADO A LA UNED), CP: 39008, SANTANDER, CANTABRIA;;17/01/2008;
16;PRIMERA;SOCIEDAD CULTURAL AMIGOS DEL ARTE;C/ TRES NOVIEMBRE Nº 33, BAJO, CP: 39003, SANTANDER, CANTABRIA;;28/10/1966;
17;PRIMERA;LA CARIDAD DE SANTANDER;C/ ARGENTINA Nº 2, CP: 39008, SANTANDER, CANTABRIA;;02/12/2005;
18;PRIMERA;SOCIOCULTURAL LA VEGA;POLIGONO LA VEGA Nº 1, CP: 39200, REINOSA, CANTABRIA;;20/07/1992;
19;PRIMERA;PEÑA DEPORTIVA ALEGRIA;, CP: 39003, SANTANDER, CANTABRIA;;;
20;PRIMERA;PEÑA SORRAVIDES;C/ FELIZ APELLANIZ Nº 2, CP: 39300, TORRELAVEGA, CANTABRIA;;;
21;PRIMERA;CULTURAL Y TAURINA PEÑA LA REPANOCHA;C/ RUBIO Nº 12 (BAR LA REPANOCHA)., CP: 39001, SANTANDER, CANTABRIA;;;
22;PRIMERA;CIRCULO CATOLICO DE OBREROS DE SAN JOSE DE CASTRO URDIALES;AVDA. DE LA CONSTITUCIÓN Nº 16, CP: 39700, CASTRO- URDIALES, CANTABRIA;;09/02/1966;
23;PRIMERA;SOCIEDAD CASINO DE BUELNA; CALLE JOSE MARIA QUIJANO Nº S/N, CP: 39400, CORRALES (LOS), CANTABRIA;128;15/11/1966;
24;PRIMERA;PEÑA TAURINA TORRELAVEGA;C/ RUIZ TAGLE Nº 2, CP: 39300, TORRELAVEGA, CANTABRIA;;17/11/1966;
29;PRIMERA;SOCIEDAD CULTURAL DEPORTIVA PEÑA GEDIO; PLAZA GENERAL DAVILA Nº S/N, CP: 39400, SOMAHOZ, CANTABRIA;128;24/11/1966;
30;PRIMERA;REAL CLUB DE REGATAS DE SANTANDER;PLAZA DE POMBO Nº 3, CP: 39003, SANTANDER, CANTABRIA;;25/11/1966;
35;PRIMERA;GRUPO FILATELICO Y NUMISMATICO MONTAÑES;C/ BAILEN Nº 4, 1º IZQ., CP: 39004, SANTANDER, CANTABRIA;;10/01/1967;
41;PRIMERA;CENTRO GALLEGO DE SANTANDER. CASA DE GALICIA EN CANTABRIA;C/ HERNAN CORTES Nº 47, CP: 39003, SANTANDER, CANTABRIA;;30/05/1966;
48;PRIMERA;PEÑA VICENTE MIERA;PLAZA DEL PROGRESO S/N, CP: 39009, SANTANDER, CANTABRIA;;17/02/1967;
59;PRIMERA;PEÑA LA GANDARA;C/ UNIVERSIDAD Nº 44, CP: 39005, SANTANDER, CANTABRIA;;16/12/2004;
63;PRIMERA;ATENEO DE SANTANDER;C/ GOMEZ OREÑA Nº 5, 1º, CP: 39003, SANTANDER, CANTABRIA;;28/03/1967;
65;PRIMERA;CUBANA DE SANTANDER;C/ SEVILLA Nº 4, CP: 39001, SANTANDER, CANTABRIA;;12/01/1967;
75;PRIMERA;DE SORDOS DE SANTANDER Y CANTABRIA  (ASSC);C/ ALTA Nº 46, ENTLO. IZQ., CP: 39008, SANTANDER, CANTABRIA;;19/04/1967;
85;PRIMERA;CIRCULO DE RECREO DE TORRELAVEGA;C/ BULEVAR LUCIANO DEMETRIO HERRERO Nº 7, CP: 39300, TORRELAVEGA, CANTABRIA;;14/10/2005;
89;PRIMERA;COFRADIA GASTRONOMICA NACIMIENTO DEL RIO EBRO; CALLE NACIMIENTO DEL RIO EBRO Nº S/N, CP: 39212, FONTIBRE, CANTABRIA;128;01/10/2007;
91;PRIMERA;AGRUPACION DE TIEMPO LIBRE EL MATADERO;C/ EL MATADERO S/N, CP: 39526, NOVALES, CANTABRIA;;17/09/2007;
92;PRIMERA;PEÑA TAURINA SERBULO AZUAJE;C/ RENTERIA REYES Nº 12, CP: 39740, SANTOÑA, CANTABRIA;121;02/03/1968;
