Nombre,Direccion,CCAA,Latitud,Longitud,Telefono,URL,Correo,Facebook,Categoria,Tamaño,Capaciadad,Capacidad,Ocupacion,id_centro
HELPING ANIMALS ALMANZORA,"C/ HUELVA Nº 5 , Arboleas (ALMERIA) , Andalucía, España",Andalucía,37.34997,-2.0737284,+34877 393 789,http://www.helpinganimalsalmanzora.com,helpinga@reguera.com,register/helpinganimalsalmanzora,mixta,mediana,,253,252,000001
PROTECTORA DE ANIMALES ROCIANA ACOGE,"CL VENDIMIADORES 33 , Rociana del Condado (HUELVA) , Andalucía, España",Andalucía,37.3121342,-6.5954551,+34823 95 92 00,http://www.protectoradeanimalesrocianaacoge.com,prote@castaneda.net,author/protectoradeanimalesrocianaacoge,mixta,mediana,,151,104,000002
ABRAZO ANIMAL JAMILENA,"C/ MORERIA, 27 , Martos (JAEN) , Andalucía, España",Andalucía,37.7243636,-3.9680213,+34 943107598,http://www.abrazoanimaljamilena.com,abraz@valls-arrieta.es,index/abrazoanimaljamilena,mixta,mediana,,207,214,000003
ACTION FOR ANIMALS,"AVENIDA DE LA CONSTITUCION Nº 3 , Cómpeta (MALAGA) , Andalucía, España",Andalucía,36.8333352,-3.976101,+34 855446257,http://www.actionforanimals.com,actio@aliaga-heredia.com,main/actionforanimals,felina,pequeña,,94,167,000004
ADA UMBRETE - DEFENSA ANIMAL,"C/ VOLUNTAD, Nº 2 , Umbrete (SEVILLA) , Andalucía, España",Andalucía,37.3767804,-6.1585826,+34982 217 289,http://www.adaumbretedefensaanimal.com,adaumbret@alcala.net,login/adaumbretedefensaanimal,mixta,grande,,434,396,000005
A.D.A.B. AMIGOS Y AMIGAS DEFENSORES DE LOS ANIMALES EN BENAMEJI,"C/ CARRERA, Nº 17 , Benamejí (CORDOBA) , Andalucía, España",Andalucía,37.2688063,-4.5387425,+34 979215877,http://www.a.d.a.b.amigosyamigasdefensoresdelosanimalesenbenameji.com,adaba@barcelo.es,author/a.d.a.b.amigosyamigasdefensoresdelosanimalesenbenameji,mixta,mediana,,125,34,000006
A.D.A.M. -AMIGOS EN DEFENSA ANIMAL DE MARCHENA,"C/ Madre de Dios, 64 , Marchena (SEVILLA) , Andalucía, España",Andalucía,37.3246573,-5.4186193,+34 963589894,http://www.a.d.a.m.amigosendefensaanimaldemarchena.com,adamamigos@fabra-paz.net,search/a.d.a.m.amigosendefensaanimaldemarchena,felina,pequeña,,86,77,000007
ALRAMA LOREÑA DE RECOGIDA DE ANIMALES Y MASCOTAS ABANDONADOS,"C/ San Isidro Labrador, 4 , Lora del Río (SEVILLA) , Andalucía, España",Andalucía,37.6875889,-5.4453202,+34877 94 52 89,http://www.alramaloreaderecogidadeanimalesymascotasabandonados.com,alramalore@cases.es,post/alramaloreaderecogidadeanimalesymascotasabandonados,canina,grande,,428,734,000008
AMIGO ANIMAL -AMAN,"C/ Emilio Díaz, nº 32 , Málaga (MALAGA) , Andalucía, España",Andalucía,36.7358925,-4.4234591,+34 879 825 586,http://www.amigoanimalaman.com,amigo@diez.es,main/amigoanimalaman,canina,grande,,365,547,000009
AMIGOS DE LOS ANIMALES DE MORON,"C/ Algamitas, 1 , Morón de la Frontera (SEVILLA) , Andalucía, España",Andalucía,37.1180345,-5.4506967,+34 902 570 114,http://www.amigosdelosanimalesdemoron.com,amigo@berenguer.es,home/amigosdelosanimalesdemoron,mixta,grande,,451,633,000010
AMIGOS DE LOS ANIMALES Y PLANTAS DR. FELIX RODRIGUEZ DE LA FUENTE,"c/ LOGROÑO, 8 , San Juan de Aznalfarache (SEVILLA) , Andalucía, España",Andalucía,37.3557973,-6.0357864,+34 822316856,http://www.amigosdelosanimalesyplantasdr.felixrodriguezdelafuente.com,amigosd@cortina-aguilo.com,about/amigosdelosanimalesyplantasdr.felixrodriguezdelafuente,mixta,pequeña,,88,36,000011
AMNISTIA ANIMAL JAEN,"C) SAN FRANCISCO Nº18 , Martos (JAEN) , Andalucía, España",Andalucía,37.7240027,-3.9702197,+34872 707 670,http://www.amnistiaanimaljaen.com,amnist@calatayud.com,terms/amnistiaanimaljaen,mixta,grande,,400,442,000012
ANDALUZA DE SOCIEDADES PROTECTORAS DE ANIMALES Y PLANTAS DE CADIZ,"C/ Santa Ana, 10 , Sevilla (SEVILLA) , Andalucía, España",Andalucía,37.2344346,-5.0989459,+34941835008,http://www.andaluzadesociedadesprotectorasdeanimalesyplantasdecadiz.com,andal@escudero.es,terms/andaluzadesociedadesprotectorasdeanimalesyplantasdecadiz,mixta,pequeña,,21,15,000013
ANDALUZA PARA LA DEFENSA DE LOS ANIMALES -ASANDA,"Gracia Fernandez Palacios, 4 Acc. , Sevilla (SEVILLA) , Andalucía, España",Andalucía,37.386128,-5.9976436,+34826 64 90 05,http://www.andaluzaparaladefensadelosanimalesasanda.com,andal@luz.es,privacy/andaluzaparaladefensadelosanimalesasanda,mixta,pequeña,,42,30,000014
ANIMAL DE PALMA DEL RIO,"PLAZA DE LA CONSTITUCIÓN, 1 , Palma del Río (CORDOBA) , Andalucía, España",Andalucía,37.6979232,-5.2822753,+34877716405,http://www.animaldepalmadelrio.com,anima@santana.com,search/animaldepalmadelrio,mixta,mediana,,142,62,000015
ANIMALES EL AMIGO MAS FIEL.,"C/ ARZOBISPO SALCEDO, 40 , Sevilla (SEVILLA) , Andalucía, España",Andalucía,37.3795961,-5.9637921,+34 946 233 036,http://www.animaleselamigomasfiel..com,animale@mesa.es,main/animaleselamigomasfiel.,mixta,grande,,440,655,000016
ANIMALES EN APUROS - LUCENA,"C/ MONTORO, 28 , Lucena (CORDOBA) , Andalucía, España",Andalucía,37.4065184,-4.4733887,+34988 26 48 47,http://www.animalesenapuroslucena.com,animalesen@salgado-pina.es,category/animalesenapuroslucena,mixta,mediana,,117,89,000017
ANIMALES SIN SUERTE,"C/ BECQUER, Nº 31 , Armilla (GRANADA) , Andalucía, España",Andalucía,37.1427957,-3.621683,+34850 965 117,http://www.animalessinsuerte.com,animaless@urrutia.org,index/animalessinsuerte,mixta,mediana,,105,184,000018
ANIMALI- ANIMALISTA DE ALMERIA,"calle Regocijos 73 , Almería (ALMERIA) , Andalucía, España",Andalucía,36.8442336,-2.4655694,+34 841508110,http://www.animalianimalistadealmeria.com,animalia@castaneda-echeverria.com,main/animalianimalistadealmeria,felina,pequeña,,54,46,000019
ANIMALISTA BICHITOS SAN JOSÉ,"CALLE PASAJE, Nº 8. SAN JOSE , Níjar (ALMERIA) , Andalucía, España",Andalucía,36.7653433,-2.1079321,+34 921 908 822,http://www.animalistabichitossanjos.com,animalist@agudo.com,category/animalistabichitossanjos,canina,pequeña,,25,27,000020
ANIMALISTA DE SANLÚCAR LA MAYOR,"C/ Esperanza de Triana, 24 , Sanlúcar la Mayor (SEVILLA) , Andalucía, España",Andalucía,37.3829073,-6.1899969,+34 846792207,http://www.animalistadesanlcarlamayor.com,animalis@penalver.org,faq/animalistadesanlcarlamayor,mixta,pequeña,,59,66,000021
ANIMALISTA HUELLAS EN EL CORAZÓN,"AVDA. DE MÁLAGA 31 , Villanueva del Trabuco (MALAGA) , Andalucía, España",Andalucía,37.0269554,-4.3396872,+34 986 877 580,http://www.animalistahuellasenelcorazn.com,animal@asensio.com,privacy/animalistahuellasenelcorazn,felina,pequeña,,68,62,000022
ANIMALISTA KEKA,"C/ Valdés Leal, nº 25 Villaverde del Río. (Sevilla) , Villaverde del Río (SEVILLA) , Andalucía, España",Andalucía,37.5941317,-5.877623,+34928 64 71 82,http://www.animalistakeka.com,anima@tormo.com,about/animalistakeka,mixta,grande,,309,266,000023
ANIMALISTA POR TUS HUESOS,"c/ peñuelas, 27  , Alameda (MALAGA) , Andalucía, España",Andalucía,37.2078769,-4.6585505,+34 975 71 86 27,http://www.animalistaportushuesos.com,animal@gil-mari.es,register/animalistaportushuesos,canina,pequeña,,79,92,000024
ANIMALISTA POR UNA SEGUNDA OPORTUNIDAD,"C/. NUEVA, nº 9 , Quesada (JAEN) , Andalucía, España",Andalucía,37.846484,-3.06868,+34 986843801,http://www.animalistaporunasegundaoportunidad.com,animalista@martorell.com,faq/animalistaporunasegundaoportunidad,canina,pequeña,,63,29,000025
ANIMALISTAS DE LA VEGA,"C/ DEL OLIVILLO, Nº 9 - PURCHIL , Vegas del Genil (GRANADA) , Andalucía, España",Andalucía,37.1733353,-3.6674174,+34 949 675 868,http://www.animalistasdelavega.com,anima@gras.es,home/animalistasdelavega,mixta,grande,,316,472,000026
ANIMALISTAS EN ACCIÓN MÁLAGA,"c/ Gargantua, 12  , Málaga (MALAGA) , Andalucía, España",Andalucía,36.7094971,-4.4649675,+34 942 22 04 83,http://www.animalistasenaccinmlaga.com,anima@granados.es,about/animalistasenaccinmlaga,mixta,grande,,469,253,000027
ANIMALIUS,"C/ SANTA ÁNGELA DE LA CRUZ, 9-A , Villanueva del Río y Minas (SEVILLA) , Andalucía, España",Andalucía,37.6514439,-5.7124562,+34 872957843,http://www.animalius.com,animalius@baeza.net,post/animalius,mixta,pequeña,,50,72,000028
APRENDA PROTECTORA ECIJANA DE ANIMALES,"C/ Pensamiento, 3 , Écija (SEVILLA) , Andalucía, España",Andalucía,37.5347287,-5.0750532,+34872 631 966,http://www.aprendaprotectoraecijanadeanimales.com,aprendap@bernat-criado.com,register/aprendaprotectoraecijanadeanimales,mixta,mediana,,130,230,000029
ARCA HUELVA PROTECTORA DE ANIMALES,"CL MIGUEL DE UNAMUNO 2 , Huelva (HUELVA) , Andalucía, España",Andalucía,37.2667511,-6.9458995,+34860 34 55 64,http://www.arcahuelvaprotectoradeanimales.com,arcahu@castellanos.es,privacy/arcahuelvaprotectoradeanimales,canina,mediana,,219,233,000030
ARDALEÑA AMIGA DE LOS ANIMALES,"C/ CUEVAS DEL BECERRO 18 , Ardales (MALAGA) , Andalucía, España",Andalucía,36.878286,-4.842205,+34827 73 22 57,http://www.ardaleaamigadelosanimales.com,ardal@sanabria-pont.net,index/ardaleaamigadelosanimales,canina,pequeña,,48,81,000031
